62.612245166	3.1814608155	0.001238617	2.4	60.803609692	48.359828348	55.587036337	69.138146454	1.596648581
65.940078359	3.2750597429	0.0040830673	2.6	60.033124385	53.038120659	39.655537603	83.268716929	1.862355383
64.957859207	3.4667294259	0.0077123931	2.4	76.213701421	71.578684109	54.082032988	86.490827622	1.6965044134
61.462856572	2.6135917871	0.0004358217	2.4	66.362581524	68.375417961	42.613195595	88.779700436	1.8217306458
63.303815439	2.3909387201	0.0049730845	2.5	70.952909544	56.271669621	53.99756969	69.953227927	1.7024770611
67.416894951	2.8252920358	0.00061038	2.6	67.847951898	56.849204544	47.175085209	80.766367824	1.6312396225
60.084076255	2.7777881261	0.0015056777	2.3	65.660839409	55.35806818	40.537212565	84.511257689	2.2350806797
63.407010135	3.3888266317	0.0007146269	2.6	67.42980579	56.374799868	49.061942969	59.205288299	1.9878297261
59.84946498	3.0551419302	0.0021658414	2.4	61.385619278	64.736584217	46.253569869	80.738275659	2.1569169217
62.855331556	2.6460209636	0.0009046444	2.8	67.071454662	62.318453829	44.85872941	72.127280271	1.9679297275
64.394781493	3.0407608832	0.0043479389	2.7	75.22159493	60.817342827	48.537481946	79.14357535	2.0613857629
59.635376901	3.02834187	0.0017600587	2.5	54.94647626	56.967807945	50.605938701	89.155425359	1.8660583068
61.840309046	3.0851361114	0.0019166603	2.1	81.995952431	44.48734531	46.451663334	81.14333304	1.7858519506
57.936276777	3.3317173754	0.0020453689	2.4	57.65091684	55.291834381	48.787617736	87.462460134	2.1174513721
64.078508103	3.157822065	0.0008381362	2.5	65.963906251	56.766985082	51.730661948	89.458772667	1.8684929826
59.524122942	2.872788119	0.0047818066	2.8	63.09283687	57.933635657	52.009058145	87.504215145	1.6021231811
62.423958134	2.8200977374	0.0014882403	2.5	65.504407785	61.206531207	48.924518461	81.083182368	2.1174087313
61.770428407	3.0492785352	0.0013257684	2.5	58.169557717	67.489127199	43.43570109	64.55345086	1.860205951
56.772516611	3.5295213703	0.0018386745	2.4	69.156761825	59.891350937	44.4917254	79.935761358	1.9574688009
62.604993254	3.1366145579	0.0008139941	2.8	65.766828994	66.036032721	44.569994615	75.918761276	2.353646413
64.178225034	3.142385508	0.0003607725	2.7	67.787809013	62.876254125	49.298734201	91.776260926	2.0295476865
64.959059205	2.6438932077	0.0019688957	2.4	69.245329591	53.437513335	50.331081624	90.688575977	2.4187747086
65.11097152	3.1805005285	0.000746745	2.5	73.007600467	59.065280666	47.170956926	72.785282136	2.1262188889
67.757757781	3.4933735995	0.0002785093	1.9	60.918416048	59.894910173	45.618608951	87.3545722	1.8151843064
67.728232142	2.7623780447	0.0017648302	2.5	62.04182642	66.553293267	41.965040683	84.051426857	1.8590371736
